disease,severity,growth_stage,soil_type,fertilizer_action,prevention_pack
mites,severe,flowering,sandy_loam,SKIP_FERTILIZER_TREAT_FIRST,ABAMECTIN_1.8EC|AVOID_SPRAY_DURING_FLOWERING|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mites,mild,flowering,clay_loam,REDUCE_N_INCREASE_K,ABAMECTIN_1.8EC|AVOID_SPRAY_DURING_FLOWERING|NEEM_OIL_SPRAY|PREVENTIVE_SPRAY_SCHEDULE|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mites,mild,vegetative,red_laterite,BALANCED_NPK_PLUS_ORGANIC,ABAMECTIN_1.8EC|NEEM_OIL_SPRAY|PREVENTIVE_SPRAY_SCHEDULE|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mosaic,severe,bearing,clay_loam,SKIP_FERTILIZER_TREAT_FIRST,APHID_CONTROL_DIMETHOATE|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|PREHARVEST_INTERVAL_CHECK|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
mosaic,mild,bearing,red_laterite,POTASSIUM_BOOST,APHID_CONTROL_DIMETHOATE|PREHARVEST_INTERVAL_CHECK|PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
anthracnose,mild,flowering,red_laterite,REDUCE_N_INCREASE_K,AVOID_SPRAY_DURING_FLOWERING|CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|NEEM_OIL_SPRAY|PREVENTIVE_SPRAY_SCHEDULE|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mosaic,mild,vegetative,red_laterite,MICRONUTRIENT_FOLIAR_SPRAY,APHID_CONTROL_DIMETHOATE|PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
anthracnose,mild,bearing,sandy_loam,POTASSIUM_BOOST,CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PREVENTIVE_SPRAY_SCHEDULE|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mosaic,severe,bearing,sandy_loam,SKIP_FERTILIZER_TREAT_FIRST,APHID_CONTROL_DIMETHOATE|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|PREHARVEST_INTERVAL_CHECK|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
mites,severe,bearing,red_laterite,SKIP_FERTILIZER_TREAT_FIRST,ABAMECTIN_1.8EC|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mites,mild,vegetative,sandy_loam,BALANCED_NPK,ABAMECTIN_1.8EC|NEEM_OIL_SPRAY|PREVENTIVE_SPRAY_SCHEDULE|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
anthracnose,moderate,vegetative,red_laterite,BALANCED_NPK_PLUS_ORGANIC,CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mosaic,severe,vegetative,sandy_loam,SKIP_FERTILIZER_TREAT_FIRST,APHID_CONTROL_DIMETHOATE|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
mosaic,moderate,flowering,sandy_loam,REDUCE_N_INCREASE_K,APHID_CONTROL_DIMETHOATE|AVOID_SPRAY_DURING_FLOWERING|MONITOR_CLOSELY_3DAYS|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
leaf_curl,severe,bearing,clay_loam,SKIP_FERTILIZER_TREAT_FIRST,CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|PREHARVEST_INTERVAL_CHECK|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
mites,mild,bearing,sandy_loam,POTASSIUM_BOOST,ABAMECTIN_1.8EC|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PREVENTIVE_SPRAY_SCHEDULE|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mosaic,severe,bearing,red_laterite,SKIP_FERTILIZER_TREAT_FIRST,APHID_CONTROL_DIMETHOATE|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|PREHARVEST_INTERVAL_CHECK|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
