disease,severity,tmean_c,rain_7d_mm,humidity_pct,risk_level
mites,severe,27.96,6.19,69.8,HIGH
mites,moderate,32.32,4.24,57.8,CRITICAL
leaf_curl,moderate,31.82,25.2,73.2,CRITICAL
mosaic,mild,30.31,33.14,70.3,MEDIUM
mites,mild,33.26,5.11,65.2,MEDIUM
leaf_curl,severe,28.14,0.19,73.8,CRITICAL
mites,severe,30.85,2.51,62.7,CRITICAL
mites,mild,33.27,11.15,41.9,MEDIUM
mites,mild,26.45,3.65,63.1,MEDIUM
anthracnose,mild,24.29,9.85,78.2,MEDIUM
mites,mild,30.72,14.35,64.5,MEDIUM
mosaic,severe,28.05,0.06,53.4,CRITICAL
mites,moderate,32.05,18.26,60.6,MEDIUM
anthracnose,moderate,21.85,44.94,72.8,HIGH
mosaic,severe,26.69,12.99,79.2,CRITICAL
mites,moderate,30.3,30.11,61.0,MEDIUM
leaf_curl,severe,32.07,43.58,58.4,CRITICAL
anthracnose,severe,30.71,161.59,96.4,CRITICAL
anthracnose,moderate,25.42,8.64,81.5,HIGH
anthracnose,mild,27.24,6.19,66.6,MEDIUM
mosaic,mild,32.08,7.26,65.5,HIGH
mosaic,mild,27.29,17.43,66.7,MEDIUM
mosaic,moderate,29.69,4.87,75.0,CRITICAL
mites,moderate,29.24,1.44,58.5,CRITICAL
mosaic,moderate,31.0,13.77,45.6,CRITICAL
mosaic,severe,27.18,6.72,55.3,CRITICAL
mites,moderate,28.73,2.4,59.8,CRITICAL
mites,mild,32.89,9.96,57.9,MEDIUM
mosaic,severe,32.72,5.93,73.7,CRITICAL
mosaic,severe,28.42,4.75,55.8,CRITICAL
anthracnose,mild,26.29,55.68,81.4,HIGH
mosaic,mild,30.24,7.34,58.8,HIGH
mites,severe,29.12,7.94,85.5,CRITICAL
mosaic,moderate,26.88,23.96,64.9,HIGH
anthracnose,mild,29.11,3.87,78.8,MEDIUM
mites,mild,29.79,3.72,44.8,HIGH
leaf_curl,mild,28.65,13.51,64.0,HIGH
leaf_curl,severe,28.93,1.61,86.1,CRITICAL
mosaic,mild,29.07,1.17,74.6,HIGH
mosaic,moderate,28.9,12.95,56.8,CRITICAL
mosaic,moderate,28.4,0.55,62.2,CRITICAL
mosaic,moderate,20.85,37.39,75.9,LOW
leaf_curl,moderate,34.19,66.78,76.7,HIGH
mites,mild,34.73,15.74,61.5,MEDIUM
mosaic,severe,33.17,5.57,66.6,CRITICAL
anthracnose,mild,30.11,2.64,61.4,LOW
anthracnose,mild,28.5,92.81,74.2,HIGH
anthracnose,mild,25.74,52.05,66.5,HIGH
mites,mild,33.04,3.05,51.4,HIGH
mosaic,moderate,28.59,1.85,73.1,CRITICAL
anthracnose,mild,21.51,10.22,78.9,LOW
anthracnose,mild,24.39,9.39,58.8,LOW
leaf_curl,severe,26.53,0.55,88.8,CRITICAL
mosaic,severe,32.37,18.01,64.6,CRITICAL
anthracnose,severe,29.37,1.73,80.0,CRITICAL
anthracnose,moderate,28.18,23.88,92.2,CRITICAL
anthracnose,mild,31.78,32.08,79.5,MEDIUM
leaf_curl,severe,29.39,11.01,78.4,CRITICAL
anthracnose,severe,29.27,132.0,82.8,CRITICAL
mites,mild,30.99,31.16,63.5,MEDIUM
leaf_curl,moderate,26.08,11.36,74.3,CRITICAL
mosaic,moderate,30.61,8.14,48.6,CRITICAL
leaf_curl,moderate,28.51,5.46,70.1,CRITICAL
anthracnose,mild,24.25,4.43,83.2,MEDIUM
leaf_curl,mild,27.78,19.7,82.0,HIGH
mosaic,severe,23.09,11.59,64.6,HIGH
mites,moderate,28.86,0.18,52.1,CRITICAL
leaf_curl,severe,26.94,8.53,92.1,CRITICAL
mites,severe,30.16,9.62,67.6,CRITICAL
mites,severe,35.79,0.85,66.1,CRITICAL
mosaic,moderate,29.71,9.92,77.9,CRITICAL
leaf_curl,mild,25.04,9.99,85.2,MEDIUM
anthracnose,moderate,25.52,8.04,81.6,HIGH
