green_ratio,yellow_ratio,orange_ratio,avg_temp,max_temp,min_temp,ripeness_stage,taste,quality_grade,buying_recommendation
0.856,0.144,0.01,28.78,30.48,26.36,Unripe,Bitter vegetal,Grade_3,Do not buy
0.85,0.047,0.103,22.78,24.71,20.92,Unripe,Bitter vegetal,Grade_3,Do not buy
0.387,0.446,0.168,29.46,31.76,27.86,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.745,0.247,0.01,13.27,14.86,10.56,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.584,0.213,0.203,15.85,17.38,13.88,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.598,0.337,0.065,14.83,16.85,12.0,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.847,0.092,0.061,23.42,25.82,21.13,Unripe,Bitter vegetal,Grade_3,Do not buy
0.143,0.709,0.148,25.35,27.5,23.07,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.841,0.129,0.03,14.07,16.16,12.24,Unripe,Bland or bitter,Grade_3,Do not buy
0.052,0.664,0.285,28.07,30.98,25.11,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.304,0.561,0.135,23.08,24.77,20.84,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.9,0.11,0.01,30.81,32.55,27.88,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.914,0.097,0.01,30.61,32.34,28.23,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.83,0.137,0.032,14.43,16.42,12.11,Unripe,Bland or bitter,Grade_3,Do not buy
0.701,0.246,0.053,23.95,26.7,21.86,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.571,0.291,0.138,24.58,26.33,22.37,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.141,0.641,0.218,29.76,31.28,27.24,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.092,0.633,0.275,24.19,26.13,21.57,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.861,0.038,0.102,31.48,33.58,29.41,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.054,0.691,0.255,14.51,17.28,11.65,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.656,0.29,0.054,28.4,30.39,25.3,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.097,0.748,0.155,14.2,16.34,12.32,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.158,0.639,0.203,30.56,32.76,28.87,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.738,0.28,0.01,14.55,16.28,11.2,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.325,0.589,0.086,14.98,16.96,13.29,Mostly Ripe,Bland or bitter,Grade_2,Highly recommended
0.14,0.735,0.125,29.75,32.96,27.44,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.528,0.528,0.01,26.43,27.95,24.72,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.9,0.031,0.07,13.48,15.43,10.56,Unripe,Bland or bitter,Grade_3,Do not buy
0.597,0.265,0.137,15.24,17.36,12.65,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.252,0.645,0.103,32.89,36.18,30.13,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.509,0.475,0.016,14.73,17.23,12.09,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.504,0.407,0.09,24.85,27.09,23.32,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.736,0.286,0.01,32.27,34.38,30.38,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.604,0.297,0.099,32.22,34.86,30.53,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.473,0.549,0.01,13.42,16.62,11.65,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.906,0.096,0.01,13.89,15.55,12.38,Unripe,Bland or bitter,Grade_3,Do not buy
0.894,0.053,0.053,28.25,30.43,26.0,Unripe,Bitter vegetal,Grade_3,Do not buy
0.169,0.637,0.194,13.11,16.29,9.89,Mostly Ripe,Bland or bitter,Grade_1,Highly recommended
0.838,0.035,0.128,13.91,15.95,10.48,Unripe,Bland or bitter,Grade_3,Do not buy
0.441,0.526,0.032,13.58,17.02,10.65,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.358,0.46,0.182,26.22,29.65,23.05,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.12,0.661,0.219,23.28,24.97,21.42,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.537,0.496,0.01,14.55,16.89,12.55,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.853,0.121,0.026,13.04,15.17,9.58,Unripe,Bland or bitter,Grade_3,Do not buy
0.185,0.553,0.262,26.53,28.9,24.24,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.112,0.695,0.193,24.37,26.88,21.79,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.903,0.104,0.01,32.34,35.44,29.48,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.265,0.569,0.166,15.43,18.86,12.12,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.829,0.038,0.132,28.47,30.65,25.66,Unripe,Bitter vegetal,Grade_3,Do not buy
